month,output_vat,input_vat,vat_remitted,vat_withheld,net_vat_payable
2025-01,26751007.82,1612370.21,886180.60,100431.35,25138637.61
2025-02,5462644.55,1048970.78,478126.18,2079000.00,4413673.77
2025-03,5577506.89,896039.40,637350.20,0.00,4681467.49
2025-04,5287383.19,1881474.53,427249.97,1782285.83,3405908.66
2025-05,5709431.48,1626206.25,0.00,0.00,4083225.23
2025-06,14247690.52,9072477.91,480303.86,9028046.25,5175212.61
2025-07,6767212.67,1481220.94,0.00,37500.00,5285991.73
2025-08,4188791.22,1093730.65,0.00,75000.00,3095060.57
2025-09,4980212.97,1864720.46,0.00,1081395.35,3115492.51
2025-10,5125752.72,4209027.01,0.00,3525404.65,916725.71
2025-11,3054531.57,1928715.46,0.00,0.00,1125816.11
2025-12,2090582.75,471642.43,0.00,0.00,1618940.32
