month,output_vat,input_vat,vat_remitted,vat_withheld,net_vat_payable
2025-01,15249704.29,1569425.21,886180.60,0.00,13680279.08
2025-02,4210836.36,943411.97,239063.09,693000.00,3267424.39
2025-03,4123637.43,896039.40,637350.20,0.00,3227598.03
2025-04,3791756.61,1801814.06,427249.97,1098660.83,1989942.55
2025-05,4368505.25,1507534.71,0.00,0.00,2860970.54
2025-06,13053824.32,8977977.91,480303.86,9028046.25,4075846.41
2025-07,5646978.22,1473458.44,0.00,37500.00,4173519.78
2025-08,3557623.10,1082518.15,0.00,37500.00,2475104.95
2025-09,4594346.47,1864720.46,0.00,1081395.35,2729626.01
2025-10,4877964.96,4209027.01,0.00,3525404.65,668937.95
2025-11,2944896.41,1928715.46,0.00,0.00,1016180.95
2025-12,2027935.95,471642.43,0.00,0.00,1556293.52
