date,voucher_type,document_no,vat_type,account,debit,credit,net_vat_amount
2025-01-01,Purchase Invoice,ACC-PINV-2025-00231,VAT Remitted,VAT Paid - DT,886180.60,0.00,-886180.60
2025-01-01,Purchase Invoice,ACC-PINV-2025-00403,Input VAT,VAT (Purchase) - DT,202500.00,0.00,-202500.00
2025-01-01,Sales Invoice,ACC-SINV-2025-00002,Output VAT,VAT - DT,0.00,4883.72,4883.72
2025-01-01,Sales Invoice,ACC-SINV-2025-00003,Output VAT,VAT - DT,0.00,1220.93,1220.93
2025-01-01,Sales Invoice,ACC-SINV-2025-00004,Output VAT,VAT - DT,0.00,1220.93,1220.93
2025-01-01,Sales Invoice,ACC-SINV-2025-00006,Output VAT,VAT - DT,0.00,1220.93,1220.93
2025-01-01,Sales Invoice,ACC-SINV-2025-00007,Output VAT,VAT - DT,0.00,1220.93,1220.93
2025-01-01,Sales Invoice,ACC-SINV-2025-00008,Output VAT,VAT - DT,0.00,1220.93,1220.93
2025-01-01,Sales Invoice,ACC-SINV-2025-00010,Output VAT,VAT - DT,0.00,1220.93,1220.93
2025-01-01,Sales Invoice,ACC-SINV-2025-00011,Output VAT,VAT - DT,0.00,1220.93,1220.93
2025-01-01,Sales Invoice,ACC-SINV-2025-00013,Output VAT,VAT - DT,0.00,1220.93,1220.93
2025-01-01,Sales Invoice,ACC-SINV-2025-00015-1,Output VAT,VAT - DT,0.00,1220.93,1220.93
2025-01-01,Sales Invoice,ACC-SINV-2025-00016,Output VAT,VAT - DT,0.00,1220.93,1220.93
2025-01-01,Sales Invoice,ACC-SINV-2025-00017,Output VAT,VAT - DT,0.00,4883.72,4883.72
2025-01-01,Sales Invoice,ACC-SINV-2025-00018,Output VAT,VAT - DT,0.00,1890.47,1890.47
2025-01-01,Sales Invoice,ACC-SINV-2025-00020,Output VAT,VAT - DT,0.00,787.70,787.70
2025-01-01,Sales Invoice,ACC-SINV-2025-00021,Output VAT,VAT - DT,0.00,472.62,472.62
2025-01-01,Sales Invoice,ACC-SINV-2025-00023,Output VAT,VAT - DT,0.00,748.31,748.31
2025-01-01,Sales Invoice,ACC-SINV-2025-00024,Output VAT,VAT - DT,0.00,1496.62,1496.62
